DATE,CPI_All_Items_BIS
2022-02-28,106.204957
2022-03-31,106.626824
2022-04-30,107.04869
2022-05-31,107.365091
2022-06-30,107.365091
2022-07-31,107.892424
2022-08-31,108.314291
2022-09-30,108.736157
2022-10-31,109.368958
2022-11-30,109.579891
2022-12-31,109.790824
2023-01-31,110.423625
2023-02-28,109.685358
2023-03-31,110.107224
2023-04-30,110.845491
2023-05-31,110.845491
2023-06-30,110.950958
2023-07-31,111.478291
2023-08-31,111.689225
2023-09-30,112.005625
2023-10-31,112.954825
2023-11-30,112.743892
2023-12-31,112.638425
