DATE,2Y_Yield
2000-01-31,0.296
2000-02-29,0.289
2000-03-31,0.413
2000-04-30,0.339
2000-05-31,0.294
2000-06-30,0.449
2000-07-31,0.335
2000-08-31,0.534
2000-09-30,0.6
2000-10-31,0.489
2000-11-30,0.478
2000-12-31,0.47
2001-01-31,0.356
2001-02-28,0.22
2001-03-31,0.16
2001-04-30,0.105
2001-05-31,0.06
2001-06-30,0.08
2001-07-31,0.11
2001-08-31,0.085
2001-09-30,0.115
2001-10-31,0.115
2001-11-30,0.145
2001-12-31,0.12
2002-01-31,0.14
2002-02-28,0.125
2002-03-31,0.085
2002-04-30,0.065
2002-05-31,0.06
2002-06-30,0.085
2002-07-31,0.06
2002-08-31,0.01
2002-09-30,0.06
2002-10-31,0.045
2002-11-30,0.07
2002-12-31,0.07
2003-01-31,0.05
2003-02-28,0.05
2003-03-31,0.07
2003-04-30,0.05
2003-05-31,0.03
2003-06-30,0.105
2003-07-31,0.08
2003-08-31,0.2
2003-09-30,0.22
2003-10-31,0.155
2003-11-30,0.125
2003-12-31,0.11
2004-01-31,0.085
2004-02-29,0.055
2004-03-31,0.145
2004-04-30,0.16
2004-05-31,0.145
2004-06-30,0.235
2004-07-31,0.22
2004-08-31,0.16
2004-09-30,0.151
2004-10-31,0.125
2004-11-30,0.09
2004-12-31,0.117
2005-01-31,0.091
2005-02-28,0.132
2005-03-31,0.124
2005-04-30,0.067
2005-05-31,0.078
2005-06-30,0.058
2005-07-31,0.102
2005-08-31,0.133
2005-09-30,0.267
2005-10-31,0.313
2005-11-30,0.236
2005-12-31,0.337
2006-01-31,0.337
2006-02-28,0.509
2006-03-31,0.726
2006-04-30,0.69
2006-05-31,0.815
2006-06-30,0.879
2006-07-31,0.839
2006-08-31,0.619
2006-09-30,0.682
2006-10-31,0.727
2006-11-30,0.812
2006-12-31,0.825
2007-01-31,0.736
2007-02-28,0.83
2007-03-31,0.843
2007-04-30,0.883
2007-05-31,0.987
2007-06-30,1.051
2007-07-31,1.011
2007-08-31,0.886
2007-09-30,0.886
2007-10-31,0.796
2007-11-30,0.771
2007-12-31,0.731
2008-01-31,0.565
2008-02-29,0.563
2008-03-31,0.58
2008-04-30,0.81
2008-05-31,0.86
2008-06-30,0.795
2008-07-31,0.775
2008-08-31,0.715
2008-09-30,0.77
2008-10-31,0.58
2008-11-30,0.61
2008-12-31,0.4
2009-01-31,0.46
2009-02-28,0.4
2009-03-31,0.42
2009-04-30,0.39
2009-05-31,0.36
2009-06-30,0.315
2009-07-31,0.285
2009-08-31,0.255
2009-09-30,0.25
2009-10-31,0.262
2009-11-30,0.231
2009-12-31,0.15
2010-01-31,0.165
2010-02-28,0.155
2010-03-31,0.185
2010-04-30,0.173
2010-05-31,0.17
2010-06-30,0.15
2010-07-31,0.155
2010-08-31,0.133
2010-09-30,0.14
2010-10-31,0.145
2010-11-30,0.195
2010-12-31,0.175
2011-01-31,0.2
2011-02-28,0.245
2011-03-31,0.215
2011-04-30,0.2
2011-05-31,0.18
2011-06-30,0.175
2011-07-31,0.157
2011-08-31,0.142
2011-09-30,0.142
2011-10-31,0.15
2011-11-30,0.144
2011-12-31,0.135
2012-01-31,0.131
2012-02-29,0.117
2012-03-31,0.12
2012-04-30,0.118
2012-05-31,0.103
2012-06-30,0.105
2012-07-31,0.099
2012-08-31,0.101
2012-09-30,0.103
2012-10-31,0.1
2012-11-30,0.097
2012-12-31,0.097
2013-01-31,0.074
2013-02-28,0.046
2013-03-31,0.069
2013-04-30,0.129
2013-05-31,0.148
2013-06-30,0.149
2013-07-31,0.123
2013-08-31,0.118
2013-09-30,0.108
2013-10-31,0.1
2013-11-30,0.087
2013-12-31,0.1
2014-01-31,0.089
2014-02-28,0.073
2014-03-31,0.091
2014-04-30,0.089
2014-05-31,0.09
2014-06-30,0.077
2014-07-31,0.071
2014-08-31,0.072
2014-09-30,0.074
2014-10-31,0.034
2014-11-30,0.008
2014-12-31,-0.016
2015-01-31,0.016
2015-02-28,0.023
2015-03-31,0.044
2015-04-30,0.009
2015-05-31,0.001
2015-06-30,0.007
2015-07-31,0.011
2015-08-31,0.012
2015-09-30,0.019
2015-10-31,0.007
2015-11-30,0.002
2015-12-31,-0.009
2016-01-31,-0.06
2016-02-29,-0.232
2016-03-31,-0.207
2016-04-30,-0.233
2016-05-31,-0.236
2016-06-30,-0.298
2016-07-31,-0.244
2016-08-31,-0.193
2016-09-30,-0.276
2016-10-31,-0.238
2016-11-30,-0.159
2016-12-31,-0.175
2017-01-31,-0.198
2017-02-28,-0.271
2017-03-31,-0.189
2017-04-30,-0.205
2017-05-31,-0.156
2017-06-30,-0.111
2017-07-31,-0.112
2017-08-31,-0.164
2017-09-30,-0.113
2017-10-31,-0.157
2017-11-30,-0.157
2017-12-31,-0.137
2018-01-31,-0.134
2018-02-28,-0.157
2018-03-31,-0.132
2018-04-30,-0.132
2018-05-31,-0.142
2018-06-30,-0.122
2018-07-31,-0.111
2018-08-31,-0.113
2018-09-30,-0.112
2018-10-31,-0.123
2018-11-30,-0.129
2018-12-31,-0.138
2019-01-31,-0.167
2019-02-28,-0.152
