DATE,30Y_Yield
2000-01-31,2.275
2000-02-29,2.424
2000-03-31,2.21
2000-04-30,2.143
2000-05-31,2.16
2000-06-30,2.22
2000-07-31,2.175
2000-08-31,2.406
2000-09-30,2.578
2000-10-31,2.981
2000-11-30,2.455
2000-12-31,2.565
2001-01-31,2.21
2001-02-28,2.005
2001-03-31,1.965
2001-04-30,2.25
2001-05-31,2.225
2001-06-30,2.172
2001-07-31,2.428
2001-08-31,2.37
2001-09-30,2.4
2001-10-31,2.485
2001-11-30,2.41
2001-12-31,2.52
2002-01-31,2.675
2002-02-28,2.615
2002-03-31,2.47
2002-04-30,2.395
2002-05-31,2.325
2002-06-30,2.215
2002-07-31,2.165
2002-08-31,2.025
2002-09-30,1.955
2002-10-31,1.825
2002-11-30,1.82
2002-12-31,1.72
2003-01-31,1.475
2003-02-28,1.44
2003-03-31,1.235
2003-04-30,1.005
2003-05-31,1.09
2003-06-30,1.4
2003-07-31,1.72
2003-08-31,2.08
2003-09-30,2.105
2003-10-31,2.335
2003-11-30,2.08
2003-12-31,2.065
2004-01-31,2.105
2004-02-29,2.13
2004-03-31,2.315
2004-04-30,2.4
2004-05-31,2.37
2004-06-30,2.725
2004-07-31,2.855
2004-08-31,2.535
2004-09-30,2.409
2004-10-31,2.492
2004-11-30,2.455
2004-12-31,2.409
2005-01-31,2.364
2005-02-28,2.453
2005-03-31,2.288
2005-04-30,2.274
2005-05-31,2.299
2005-06-30,2.208
2005-07-31,2.397
2005-08-31,2.405
2005-09-30,2.422
2005-10-31,2.426
2005-11-30,2.393
2005-12-31,2.318
2006-01-31,2.406
2006-02-28,2.262
2006-03-31,2.271
2006-04-30,2.479
2006-05-31,2.388
2006-06-30,2.527
2006-07-31,2.588
2006-08-31,2.43
2006-09-30,2.45
2006-10-31,2.471
2006-11-30,2.376
2006-12-31,2.322
2007-01-31,2.398
2007-02-28,2.288
2007-03-31,2.341
2007-04-30,2.305
2007-05-31,2.354
2007-06-30,2.457
2007-07-31,2.444
2007-08-31,2.358
2007-09-30,2.437
2007-10-31,2.455
2007-11-30,2.339
2007-12-31,2.364
2008-01-31,2.385
2008-02-29,2.293
2008-03-31,2.385
2008-04-30,2.465
2008-05-31,2.5
2008-06-30,2.41
2008-07-31,2.425
2008-08-31,2.29
2008-09-30,2.295
2008-10-31,2.23
2008-11-30,2.19
2008-12-31,1.74
2009-01-31,1.95
2009-02-28,1.955
2009-03-31,2.04
2009-04-30,2.135
2009-05-31,2.26
2009-06-30,2.19
2009-07-31,2.33
2009-08-31,2.235
2009-09-30,2.18
2009-10-31,2.285
2009-11-30,2.154
2009-12-31,2.269
2010-01-31,2.296
2010-02-28,2.308
2010-03-31,2.312
2010-04-30,2.139
2010-05-31,2.085
2010-06-30,1.898
2010-07-31,1.77
2010-08-31,1.721
2010-09-30,1.81
2010-10-31,1.98
2010-11-30,2.1
2010-12-31,1.996
2011-01-31,2.152
2011-02-28,2.149
2011-03-31,2.18
2011-04-30,2.137
2011-05-31,2.048
2011-06-30,2.013
2011-07-31,2.006
2011-08-31,2.0
2011-09-30,1.921
2011-10-31,1.994
2011-11-30,1.994
2011-12-31,1.916
2012-01-31,1.914
2012-02-29,1.942
2012-03-31,1.943
2012-04-30,1.896
2012-05-31,1.779
2012-06-30,1.894
2012-07-31,1.828
2012-08-31,1.891
2012-09-30,1.9
2012-10-31,1.962
2012-11-30,1.951
2012-12-31,1.984
2013-01-31,1.989
2013-02-28,1.823
2013-03-31,1.514
2013-04-30,1.61
2013-05-31,1.77
2013-06-30,1.829
2013-07-31,1.816
2013-08-31,1.764
2013-09-30,1.712
2013-10-31,1.634
2013-11-30,1.649
2013-12-31,1.738
2014-01-31,1.644
2014-02-28,1.65
2014-03-31,1.714
2014-04-30,1.714
2014-05-31,1.688
2014-06-30,1.688
2014-07-31,1.681
2014-08-31,1.627
2014-09-30,1.611
2014-10-31,1.58
2014-11-30,1.393
2014-12-31,1.242
2015-01-31,1.283
2015-02-28,1.431
2015-03-31,1.344
2015-04-30,1.344
2015-05-31,1.473
2015-06-30,1.434
2015-07-31,1.413
2015-08-31,1.4
2015-09-30,1.401
2015-10-31,1.352
2015-11-30,1.384
2015-12-31,1.274
2016-01-31,1.076
2016-02-29,0.86
2016-03-31,0.542
2016-04-30,0.346
2016-05-31,0.299
2016-06-30,0.142
2016-07-31,0.282
2016-08-31,0.429
2016-09-30,0.458
2016-10-31,0.514
2016-11-30,0.572
2016-12-31,0.72
2017-01-31,0.833
2017-02-28,0.806
2017-03-31,0.842
2017-04-30,0.784
2017-05-31,0.803
2017-06-30,0.848
2017-07-31,0.876
2017-08-31,0.828
2017-09-30,0.868
2017-10-31,0.871
2017-11-30,0.828
2017-12-31,0.812
2018-01-31,0.815
2018-02-28,0.761
2018-03-31,0.742
2018-04-30,0.745
2018-05-31,0.717
2018-06-30,0.711
2018-07-31,0.75
2018-08-31,0.845
2018-09-30,0.911
2018-10-31,0.871
2018-11-30,0.816
2018-12-31,0.71
2019-01-31,0.646
2019-02-28,0.605
2019-03-31,0.501
2019-04-30,0.564
2019-05-31,0.455
2019-06-30,0.361
2019-07-31,0.352
2019-08-31,0.141
2019-09-30,0.353
2019-10-31,0.386
2019-11-30,0.411
2019-12-31,0.411
2020-01-31,0.369
2020-02-29,0.286
2020-03-31,0.419
2020-04-30,0.425
2020-05-31,0.501
2020-06-30,0.602
2020-07-31,0.525
2020-08-31,0.61
2020-09-30,0.595
2020-10-31,0.643
2020-11-30,0.65
2020-12-31,0.646
2021-01-31,0.661
2021-02-28,0.757
2021-03-31,0.671
2021-04-30,0.66
2021-05-31,0.674
2021-06-30,0.688
2021-07-31,0.639
2021-08-31,0.65
2021-09-30,0.67
2021-10-31,0.674
2021-11-30,0.669
2021-12-31,0.69
2022-01-31,0.779
2022-02-28,0.89
2022-03-31,0.929
2022-04-30,0.97
2022-05-31,1.024
2022-06-30,1.24
2022-07-31,1.19
2022-08-31,1.195
2022-09-30,1.398
2022-10-31,1.421
2022-11-30,1.516
2022-12-31,1.618
2023-01-31,1.603
2023-02-28,1.375
2023-03-31,1.239
2023-04-30,1.239
2023-05-31,1.256
2023-06-30,1.244
2023-07-31,1.5
2023-08-31,1.676
2023-09-30,1.741
2023-10-31,1.876
2023-11-30,1.668
2023-12-31,1.641
