DATE,20Y_Yield
2000-01-31,6.86
2000-02-29,6.54
2000-03-31,6.38
2000-04-30,6.18
2000-05-31,6.55
2000-06-30,6.28
2000-07-31,6.2
2000-08-31,6.02
2000-09-30,6.09
2000-10-31,6.04
2000-11-30,5.98
2000-12-31,5.64
2001-01-31,5.65
2001-02-28,5.62
2001-03-31,5.49
2001-04-30,5.78
2001-05-31,5.92
2001-06-30,5.82
2001-07-31,5.75
2001-08-31,5.58
2001-09-30,5.53
2001-10-31,5.34
2001-11-30,5.33
2001-12-31,5.76
2002-01-31,5.69
2002-02-28,5.61
2002-03-31,5.93
2002-04-30,5.85
2002-05-31,5.81
2002-06-30,5.65
2002-07-31,5.51
2002-08-31,5.19
2002-09-30,4.87
2002-10-31,5.0
2002-11-30,5.04
2002-12-31,5.01
2003-01-31,5.02
2003-02-28,4.87
2003-03-31,4.82
2003-04-30,4.91
2003-05-31,4.52
2003-06-30,4.34
2003-07-31,4.92
2003-08-31,5.39
2003-09-30,5.21
2003-10-31,5.21
2003-11-30,5.17
2003-12-31,5.11
2004-01-31,5.01
2004-02-29,4.94
2004-03-31,4.72
2004-04-30,5.16
2004-05-31,5.46
2004-06-30,5.45
2004-07-31,5.24
2004-08-31,5.07
2004-09-30,4.89
2004-10-31,4.85
2004-11-30,4.89
2004-12-31,4.88
2005-01-31,4.77
2005-02-28,4.61
2005-03-31,4.89
2005-04-30,4.75
2005-05-31,4.56
2005-06-30,4.35
2005-07-31,4.48
2005-08-31,4.53
2005-09-30,4.51
2005-10-31,4.74
2005-11-30,4.83
2005-12-31,4.73
2006-01-31,4.65
2006-02-28,4.73
2006-03-31,4.91
2006-04-30,5.22
2006-05-31,5.35
2006-06-30,5.29
2006-07-31,5.25
2006-08-31,5.08
2006-09-30,4.93
2006-10-31,4.94
2006-11-30,4.78
2006-12-31,4.78
2007-01-31,4.95
2007-02-28,4.93
2007-03-31,4.81
2007-04-30,4.95
2007-05-31,4.98
2007-06-30,5.29
2007-07-31,5.19
2007-08-31,5.0
2007-09-30,4.84
2007-10-31,4.83
2007-11-30,4.56
2007-12-31,4.57
2008-01-31,4.35
2008-02-29,4.49
2008-03-31,4.36
2008-04-30,4.44
2008-05-31,4.6
2008-06-30,4.74
2008-07-31,4.62
2008-08-31,4.53
2008-09-30,4.32
2008-10-31,4.45
2008-11-30,4.27
2008-12-31,3.18
2009-01-31,3.46
2009-02-28,3.83
2009-03-31,3.78
2009-04-30,3.84
2009-05-31,4.22
2009-06-30,4.51
2009-07-31,4.38
2009-08-31,4.33
2009-09-30,4.14
2009-10-31,4.16
2009-11-30,4.24
2009-12-31,4.4
2010-01-31,4.5
2010-02-28,4.48
2010-03-31,4.49
2010-04-30,4.53
2010-05-31,4.11
2010-06-30,3.95
2010-07-31,3.8
2010-08-31,3.52
2010-09-30,3.47
2010-10-31,3.52
2010-11-30,3.82
2010-12-31,4.17
2011-01-31,4.28
2011-02-28,4.42
2011-03-31,4.27
2011-04-30,4.28
2011-05-31,4.01
2011-06-30,3.91
2011-07-31,3.95
2011-08-31,3.24
2011-09-30,2.83
