DATE,Industrial_Production
2009-02-28,87.843
2009-03-31,86.4689
2009-04-30,85.7903
2009-05-31,84.9436
2009-06-30,84.6746
2009-07-31,85.6853
2009-08-31,86.6393
2009-09-30,87.3821
2009-10-31,87.5809
2009-11-30,87.9388
2009-12-31,88.2404
2010-01-31,89.1897
2010-02-28,89.5046
2010-03-31,90.1356
2010-04-30,90.4607
2010-05-31,91.7014
2010-06-30,91.9033
2010-07-31,92.2549
2010-08-31,92.5936
2010-09-30,92.8533
2010-10-31,92.6033
2010-11-30,92.6686
2010-12-31,93.5916
2011-01-31,93.3889
2011-02-28,93.0045
2011-03-31,93.9684
2011-04-30,93.6571
2011-05-31,93.7723
2011-06-30,94.0493
2011-07-31,94.4958
2011-08-31,95.0974
2011-09-30,95.0244
2011-10-31,95.6891
2011-11-30,95.6778
2011-12-31,96.1809
2012-01-31,96.7595
2012-02-29,97.0662
2012-03-31,96.5609
2012-04-30,97.251
2012-05-31,97.4595
2012-06-30,97.4768
2012-07-31,97.6714
2012-08-31,97.2734
2012-09-30,97.2217
2012-10-31,97.5311
2012-11-30,97.9084
2012-12-31,98.1884
2013-01-31,98.1736
2013-02-28,98.6434
2013-03-31,99.047
2013-04-30,98.9445
2013-05-31,99.0383
2013-06-30,99.2221
2013-07-31,98.8987
2013-08-31,99.4897
2013-09-30,100.021
2013-10-31,99.9037
2013-11-30,100.1582
2013-12-31,100.374
2014-01-31,99.9899
2014-02-28,100.7471
2014-03-31,101.7435
2014-04-30,101.8273
2014-05-31,102.2392
2014-06-30,102.5774
2014-07-31,102.7954
2014-08-31,102.6322
2014-09-30,102.9417
2014-10-31,102.9611
2014-11-30,103.5978
2014-12-31,103.6151
2015-01-31,102.7923
2015-02-28,102.1366
2015-03-31,101.7869
2015-04-30,101.2255
2015-05-31,100.7675
2015-06-30,100.4588
2015-07-31,101.0893
2015-08-31,100.9165
2015-09-30,100.633
2015-10-31,100.1563
2015-11-30,99.4366
2015-12-31,98.9471
2016-01-31,99.4391
2016-02-29,98.9232
2016-03-31,98.1635
2016-04-30,98.4775
2016-05-31,98.2549
2016-06-30,98.7315
2016-07-31,98.8452
2016-08-31,98.7427
2016-09-30,98.6552
2016-10-31,98.7237
2016-11-30,98.3443
2016-12-31,99.0406
2017-01-31,98.8158
2017-02-28,98.4356
2017-03-31,99.0492
2017-04-30,100.0416
2017-05-31,100.128
2017-06-30,100.337
2017-07-31,100.0865
2017-08-31,99.6323
2017-09-30,99.7482
2017-10-31,100.9893
2017-11-30,101.2493
2017-12-31,101.4871
2018-01-31,101.4852
2018-02-28,101.7319
2018-03-31,102.1943
2018-04-30,103.3551
2018-05-31,102.381
2018-06-30,103.2256
2018-07-31,103.3561
2018-08-31,104.0585
2018-09-30,104.1038
2018-10-31,103.9297
2018-11-30,104.0126
2018-12-31,104.0451
2019-01-31,103.3598
2019-02-28,102.8251
2019-03-31,102.8361
2019-04-30,102.2748
2019-05-31,102.4176
2019-06-30,102.5425
2019-07-31,102.0057
2019-08-31,102.7814
2019-09-30,102.4601
2019-10-31,101.5878
2019-11-30,102.1494
2019-12-31,101.9421
2020-01-31,101.3372
2020-02-29,101.6718
2020-03-31,97.606
2020-04-30,84.6812
