DATE,BIS_Balance_Sheet
2017-03-31,4469.61786497
2017-04-30,4470.14165903
2017-05-31,4459.91379109
2017-06-30,4463.34693556
2017-07-31,4465.28426092
2017-08-31,4452.36028699
2017-09-30,4455.66137822
2017-10-31,4461.11746039
2017-11-30,4438.5923795
2017-12-31,4448.67965358
2018-01-31,4419.22536239
2018-02-28,4393.4008282
2018-03-31,4392.19824808
2018-04-30,4372.88612432
2018-05-31,4327.51922107
2018-06-30,4305.49062267
2018-07-31,4277.68112036
2018-08-31,4218.91416096
2018-09-30,4192.90946824
2018-10-31,4139.73072122
2018-11-30,4097.16954517
2018-12-31,4075.63631352
2019-01-31,4039.67800847
2019-02-28,3974.59024659
2019-03-31,3955.61689919
2019-04-30,3928.27316978
2019-05-31,3851.44428011
2019-06-30,3826.81650228
2019-07-31,3779.10163002
2019-08-31,3759.94627395
2019-09-30,3857.71519349
2019-10-31,4019.82273651
2019-11-30,4052.87530118
2019-12-31,4165.59072999
2020-01-31,4151.63007457
2020-02-29,4158.63729415
2020-03-31,5254.27754337
2020-04-30,6655.92906199
2020-05-31,7097.31609233
2020-06-30,7082.30191955
2020-07-31,6949.03242347
2020-08-31,6990.41776357
2020-09-30,7056.12869207
2020-10-31,7146.30555834
2020-11-30,7216.48040048
2020-12-31,7363.35105708
2021-01-31,7404.92642803
2021-02-28,7590.11137144
2021-03-31,7688.98828699
2021-04-30,7780.96159586
2021-05-31,7903.54136803
2021-06-30,8078.54399044
2021-07-31,8221.47338128
2021-08-31,8332.74287871
2021-09-30,8447.98088068
2021-10-31,8556.18067609
2021-11-30,8681.77095825
2021-12-31,8757.45977865
2022-01-31,8860.4851512
2022-02-28,8928.12865293
2022-03-31,8937.14245007
2022-04-30,8939.19874318
2022-05-31,8914.28129938
2022-06-30,8913.55314695
2022-07-31,8890.00393592
2022-08-31,8826.09288985
2022-09-30,8795.5671731
2022-10-31,8723.09007256
2022-11-30,8584.57630532
2022-12-31,8551.16891225
2023-01-31,8470.55678069
2023-02-28,8382.18971663
2023-03-31,8705.9417338
2023-04-30,8562.76781006
2023-05-31,8385.85386725
2023-06-30,8340.91394329
2023-07-31,8243.34442228
2023-08-31,8121.31577146
2023-09-30,8002.06367481
2023-10-31,7907.82993566
2023-11-30,7796.14469779
2023-12-31,7712.7814851
