DATE,Foreign_Holdings
2017-01-31,6100.833333333333
2017-02-28,6126.366666666667
2017-03-31,6151.9
2017-04-30,6201.9
2017-05-31,6251.9
2017-06-30,6301.9
2017-07-31,6271.7
2017-08-31,6241.5
2017-09-30,6211.3
2017-10-31,6215.333333333333
2017-11-30,6219.366666666667
2017-12-31,6223.4
2018-01-31,6223.933333333333
2018-02-28,6224.466666666666
2018-03-31,6225.0
2018-04-30,6225.3
2018-05-31,6225.599999999999
2018-06-30,6225.9
2018-07-31,6240.633333333333
2018-08-31,6255.366666666667
2018-09-30,6270.1
2018-10-31,6338.066666666667
2018-11-30,6406.033333333334
2018-12-31,6474.0
2019-01-31,6524.633333333333
2019-02-28,6575.266666666666
2019-03-31,6625.9
2019-04-30,6725.099999999999
2019-05-31,6824.3
2019-06-30,6923.5
2019-07-31,6897.066666666667
2019-08-31,6870.633333333333
2019-09-30,6844.2
2019-10-31,6879.3
2019-11-30,6914.4
2019-12-31,6949.5
2020-01-31,6983.7
2020-02-29,7017.900000000001
2020-03-31,7052.1
2020-04-30,7057.8
2020-05-31,7063.5
2020-06-30,7069.2
2020-07-31,7069.7
2020-08-31,7070.2
2020-09-30,7070.7
2020-10-31,7059.9
2020-11-30,7049.1
2020-12-31,7038.3
2021-01-31,7198.5
2021-02-28,7358.7
2021-03-31,7518.9
2021-04-30,7536.233333333333
2021-05-31,7553.566666666667
2021-06-30,7570.9
2021-07-31,7627.4
2021-08-31,7683.9
2021-09-30,7740.4
2021-10-31,7695.0
2021-11-30,7649.599999999999
2021-12-31,7604.2
2022-01-31,7541.766666666666
2022-02-28,7479.333333333333
2022-03-31,7416.9
2022-04-30,7361.766666666666
2022-05-31,7306.633333333333
2022-06-30,7251.5
2022-07-31,7233.6
2022-08-31,7215.7
2022-09-30,7197.8
2022-10-31,7289.0
2022-11-30,7380.2
2022-12-31,7471.4
2023-01-31,7500.599999999999
2023-02-28,7529.8
2023-03-31,7559.0
2023-04-30,7544.366666666667
2023-05-31,7529.733333333334
2023-06-30,7515.1
2023-07-31,7656.466666666667
2023-08-31,7797.833333333333
2023-09-30,7939.2
2023-10-31,7939.2
2023-11-30,7939.2
2023-12-31,7939.2
