DATE,5Y_Yield
2000-01-31,6.58
2000-02-29,6.68
2000-03-31,6.5
2000-04-30,6.26
2000-05-31,6.69
2000-06-30,6.3
2000-07-31,6.18
2000-08-31,6.06
2000-09-30,5.93
2000-10-31,5.78
2000-11-30,5.7
2000-12-31,5.17
2001-01-31,4.86
2001-02-28,4.89
2001-03-31,4.64
2001-04-30,4.76
2001-05-31,4.93
2001-06-30,4.81
2001-07-31,4.76
2001-08-31,4.57
2001-09-30,4.12
2001-10-31,3.91
2001-11-30,3.97
2001-12-31,4.39
2002-01-31,4.34
2002-02-28,4.3
2002-03-31,4.74
2002-04-30,4.65
2002-05-31,4.49
2002-06-30,4.19
2002-07-31,3.81
2002-08-31,3.29
2002-09-30,2.94
2002-10-31,2.95
2002-11-30,3.05
2002-12-31,3.03
2003-01-31,3.05
2003-02-28,2.9
2003-03-31,2.78
2003-04-30,2.93
2003-05-31,2.52
2003-06-30,2.27
2003-07-31,2.87
2003-08-31,3.37
2003-09-30,3.18
2003-10-31,3.19
2003-11-30,3.29
2003-12-31,3.27
2004-01-31,3.12
2004-02-29,3.07
2004-03-31,2.79
2004-04-30,3.39
2004-05-31,3.85
2004-06-30,3.93
2004-07-31,3.69
2004-08-31,3.47
2004-09-30,3.36
2004-10-31,3.35
2004-11-30,3.53
2004-12-31,3.6
2005-01-31,3.71
2005-02-28,3.77
2005-03-31,4.17
2005-04-30,4.0
2005-05-31,3.85
2005-06-30,3.77
2005-07-31,3.98
2005-08-31,4.12
2005-09-30,4.01
2005-10-31,4.33
2005-11-30,4.45
2005-12-31,4.39
2006-01-31,4.35
2006-02-28,4.57
2006-03-31,4.72
2006-04-30,4.9
2006-05-31,5.0
2006-06-30,5.07
2006-07-31,5.04
2006-08-31,4.82
2006-09-30,4.67
2006-10-31,4.69
2006-11-30,4.58
2006-12-31,4.53
2007-01-31,4.75
2007-02-28,4.71
2007-03-31,4.48
2007-04-30,4.59
2007-05-31,4.67
2007-06-30,5.03
2007-07-31,4.88
2007-08-31,4.43
2007-09-30,4.2
2007-10-31,4.2
2007-11-30,3.67
2007-12-31,3.49
2008-01-31,2.98
2008-02-29,2.78
2008-03-31,2.48
2008-04-30,2.84
2008-05-31,3.15
2008-06-30,3.49
2008-07-31,3.3
2008-08-31,3.14
