DATE,Real_GDP
2017-05-31,19609.493666666665
2017-06-30,19660.766
2017-07-31,19734.628
2017-08-31,19808.49
2017-09-30,19882.352
2017-10-31,19936.26033333333
2017-11-30,19990.16866666667
2017-12-31,20044.077
2018-01-31,20079.54333333333
2018-02-28,20115.009666666665
2018-03-31,20150.476
2018-04-30,20192.368666666665
2018-05-31,20234.26133333333
2018-06-30,20276.154
2018-07-31,20285.72733333333
2018-08-31,20295.300666666662
2018-09-30,20304.874
2018-10-31,20347.129666666668
2018-11-30,20389.38533333333
2018-12-31,20431.641
2019-01-31,20488.519
2019-02-28,20545.397
2019-03-31,20602.275
2019-04-30,20682.624
2019-05-31,20762.973
2019-06-30,20843.322
2019-07-31,20890.697333333334
2019-08-31,20938.072666666667
2019-09-30,20985.448
2019-10-31,20888.04466666667
2019-11-30,20790.641333333333
2019-12-31,20693.238
2020-01-31,20147.697666666667
2020-02-29,19602.157333333333
2020-03-31,19056.617
2020-04-30,19554.009
2020-05-31,20051.401
2020-06-30,20548.793
2020-07-31,20623.09233333333
2020-08-31,20697.391666666663
2020-09-30,20771.691
2020-10-31,20867.253666666667
2020-11-30,20962.81633333333
2020-12-31,21058.379
2021-01-31,21168.587666666663
2021-02-28,21278.796333333332
2021-03-31,21389.005
2021-04-30,21449.81033333333
2021-05-31,21510.615666666665
2021-06-30,21571.421
2021-07-31,21701.076666666664
2021-08-31,21830.732333333333
2021-09-30,21960.388
2021-10-31,21941.542
2021-11-30,21922.696
2021-12-31,21903.85
2022-01-31,21908.974
2022-02-28,21914.098
2022-03-31,21919.222
2022-04-30,21968.409333333333
2022-05-31,22017.596666666668
2022-06-30,22066.784
2022-07-31,22127.675666666662
2022-08-31,22188.56733333333
2022-09-30,22249.459
2022-10-31,22300.784333333333
2022-11-30,22352.109666666667
2022-12-31,22403.435
2023-01-31,22448.76266666667
2023-02-28,22494.090333333334
2023-03-31,22539.418
2023-04-30,22619.923000000003
2023-05-31,22700.428
2023-06-30,22780.933
2023-07-31,22840.822
2023-08-31,22900.711
2023-09-30,22960.6
2023-10-31,22960.6
2023-11-30,22960.6
2023-12-31,22960.6
