DATE,2Y_Yield
2000-01-31,6.44
2000-02-29,6.61
2000-03-31,6.53
2000-04-30,6.4
2000-05-31,6.81
2000-06-30,6.48
2000-07-31,6.34
2000-08-31,6.23
2000-09-30,6.08
2000-10-31,5.91
2000-11-30,5.88
2000-12-31,5.35
2001-01-31,4.76
2001-02-28,4.66
2001-03-31,4.34
2001-04-30,4.23
2001-05-31,4.26
2001-06-30,4.08
2001-07-31,4.04
2001-08-31,3.76
2001-09-30,3.12
2001-10-31,2.73
2001-11-30,2.78
2001-12-31,3.11
2002-01-31,3.03
2002-02-28,3.02
2002-03-31,3.56
2002-04-30,3.42
2002-05-31,3.26
2002-06-30,2.99
2002-07-31,2.56
2002-08-31,2.13
2002-09-30,2.0
2002-10-31,1.91
2002-11-30,1.92
2002-12-31,1.84
2003-01-31,1.74
2003-02-28,1.63
2003-03-31,1.57
2003-04-30,1.62
2003-05-31,1.42
2003-06-30,1.23
2003-07-31,1.47
2003-08-31,1.86
2003-09-30,1.71
2003-10-31,1.75
2003-11-30,1.93
2003-12-31,1.91
2004-01-31,1.76
2004-02-29,1.74
2004-03-31,1.58
2004-04-30,2.07
2004-05-31,2.53
2004-06-30,2.76
2004-07-31,2.64
2004-08-31,2.51
2004-09-30,2.53
2004-10-31,2.58
2004-11-30,2.85
2004-12-31,3.01
2005-01-31,3.22
2005-02-28,3.38
2005-03-31,3.73
2005-04-30,3.65
2005-05-31,3.64
2005-06-30,3.64
2005-07-31,3.87
2005-08-31,4.04
2005-09-30,3.95
2005-10-31,4.27
2005-11-30,4.42
2005-12-31,4.4
2006-01-31,4.4
2006-02-28,4.67
2006-03-31,4.73
2006-04-30,4.89
2006-05-31,4.97
2006-06-30,5.12
2006-07-31,5.12
2006-08-31,4.9
2006-09-30,4.77
2006-10-31,4.8
2006-11-30,4.74
2006-12-31,4.67
2007-01-31,4.88
2007-02-28,4.85
2007-03-31,4.57
2007-04-30,4.67
2007-05-31,4.77
2007-06-30,4.98
2007-07-31,4.82
2007-08-31,4.31
2007-09-30,4.01
2007-10-31,3.97
2007-11-30,3.34
2007-12-31,3.12
2008-01-31,2.48
2008-02-29,1.97
2008-03-31,1.62
2008-04-30,2.05
2008-05-31,2.45
2008-06-30,2.77
2008-07-31,2.57
2008-08-31,2.42
2008-09-30,2.08
2008-10-31,1.61
2008-11-30,1.21
2008-12-31,0.82
2009-01-31,0.81
2009-02-28,0.98
2009-03-31,0.93
2009-04-30,0.93
2009-05-31,0.93
2009-06-30,1.18
2009-07-31,1.02
2009-08-31,1.12
