DATE,1Y_Yield
2000-01-31,6.12
2000-02-29,6.22
2000-03-31,6.22
2000-04-30,6.15
2000-05-31,6.33
2000-06-30,6.17
2000-07-31,6.08
2000-08-31,6.18
2000-09-30,6.13
2000-10-31,6.01
2000-11-30,6.09
2000-12-31,5.6
2001-01-31,4.81
2001-02-28,4.68
2001-03-31,4.3
2001-04-30,3.98
2001-05-31,3.78
2001-06-30,3.58
2001-07-31,3.62
2001-08-31,3.47
2001-09-30,2.82
2001-10-31,2.33
2001-11-30,2.18
2001-12-31,2.22
2002-01-31,2.16
2002-02-28,2.23
2002-03-31,2.57
2002-04-30,2.48
2002-05-31,2.35
2002-06-30,2.2
2002-07-31,1.96
2002-08-31,1.76
2002-09-30,1.72
2002-10-31,1.65
2002-11-30,1.49
2002-12-31,1.45
2003-01-31,1.36
2003-02-28,1.3
2003-03-31,1.24
2003-04-30,1.27
2003-05-31,1.18
2003-06-30,1.01
2003-07-31,1.12
2003-08-31,1.31
2003-09-30,1.24
2003-10-31,1.25
2003-11-30,1.34
2003-12-31,1.31
2004-01-31,1.24
2004-02-29,1.24
2004-03-31,1.19
2004-04-30,1.43
2004-05-31,1.78
2004-06-30,2.12
2004-07-31,2.1
2004-08-31,2.02
2004-09-30,2.12
2004-10-31,2.23
2004-11-30,2.5
2004-12-31,2.67
2005-01-31,2.86
2005-02-28,3.03
2005-03-31,3.3
2005-04-30,3.32
2005-05-31,3.33
2005-06-30,3.36
2005-07-31,3.64
2005-08-31,3.87
2005-09-30,3.85
2005-10-31,4.18
2005-11-30,4.33
2005-12-31,4.35
2006-01-31,4.45
2006-02-28,4.68
2006-03-31,4.77
2006-04-30,4.9
2006-05-31,5.0
2006-06-30,5.16
2006-07-31,5.22
2006-08-31,5.08
2006-09-30,4.97
2006-10-31,5.01
2006-11-30,5.01
2006-12-31,4.94
2007-01-31,5.06
2007-02-28,5.05
2007-03-31,4.92
2007-04-30,4.93
2007-05-31,4.91
2007-06-30,4.96
2007-07-31,4.96
2007-08-31,4.47
2007-09-30,4.14
2007-10-31,4.1
2007-11-30,3.5
2007-12-31,3.26
2008-01-31,2.71
2008-02-29,2.05
2008-03-31,1.54
2008-04-30,1.74
2008-05-31,2.06
2008-06-30,2.42
2008-07-31,2.28
2008-08-31,2.18
2008-09-30,1.91
2008-10-31,1.42
2008-11-30,1.07
2008-12-31,0.49
2009-01-31,0.44
2009-02-28,0.62
2009-03-31,0.64
2009-04-30,0.55
2009-05-31,0.5
2009-06-30,0.51
2009-07-31,0.48
2009-08-31,0.46
2009-09-30,0.4
2009-10-31,0.37
2009-11-30,0.31
2009-12-31,0.37
2010-01-31,0.35
2010-02-28,0.35
2010-03-31,0.4
2010-04-30,0.45
2010-05-31,0.37
2010-06-30,0.32
2010-07-31,0.29
2010-08-31,0.26
2010-09-30,0.26
2010-10-31,0.23
2010-11-30,0.25
2010-12-31,0.29
2011-01-31,0.27
2011-02-28,0.29
2011-03-31,0.26
2011-04-30,0.25
2011-05-31,0.19
2011-06-30,0.18
2011-07-31,0.19
2011-08-31,0.11
2011-09-30,0.1
2011-10-31,0.11
2011-11-30,0.11
2011-12-31,0.12
2012-01-31,0.12
2012-02-29,0.16
2012-03-31,0.19
2012-04-30,0.18
2012-05-31,0.19
2012-06-30,0.19
2012-07-31,0.19
2012-08-31,0.18
2012-09-30,0.18
2012-10-31,0.18
2012-11-30,0.18
2012-12-31,0.16
2013-01-31,0.15
2013-02-28,0.16
2013-03-31,0.15
2013-04-30,0.12
2013-05-31,0.12
2013-06-30,0.14
2013-07-31,0.12
2013-08-31,0.13
2013-09-30,0.12
2013-10-31,0.12
2013-11-30,0.12
2013-12-31,0.13
2014-01-31,0.12
2014-02-28,0.12
2014-03-31,0.13
2014-04-30,0.11
2014-05-31,0.1
2014-06-30,0.1
2014-07-31,0.11
2014-08-31,0.11
2014-09-30,0.11
2014-10-31,0.1
2014-11-30,0.13
2014-12-31,0.21
2015-01-31,0.2
2015-02-28,0.22
2015-03-31,0.25
2015-04-30,0.23
2015-05-31,0.24
2015-06-30,0.28
2015-07-31,0.3
2015-08-31,0.38
2015-09-30,0.37
2015-10-31,0.26
2015-11-30,0.48
2015-12-31,0.65
2016-01-31,0.54
2016-02-29,0.53
2016-03-31,0.66
