Date,Price,Open,High,Low,Change %
01-12-2023,0.049,0.068,0.114,0.027,68.97%
01-11-2023,0.029,0.154,0.166,0.027,-81.41%
01-10-2023,0.156,0.055,0.161,0.043,205.88%
01-09-2023,0.051,0.029,0.058,0.003,64.52%
01-08-2023,0.031,0.008,0.033,0.0,342.86%
01-07-2023,0.007,-0.067,0.01,-0.069,-110.61%
01-06-2023,-0.066,-0.054,-0.051,-0.08,26.92%
01-05-2023,-0.052,-0.041,-0.028,-0.066,44.44%
01-04-2023,-0.036,-0.047,-0.021,-0.06,-34.55%
01-03-2023,-0.055,-0.025,-0.012,-0.088,48.65%
01-02-2023,-0.037,-0.008,-0.003,-0.059,105.56%
01-01-2023,-0.018,0.041,0.063,-0.024,-156.25%
01-12-2022,0.032,-0.027,0.053,-0.03,-233.33%
01-11-2022,-0.024,-0.036,-0.005,-0.073,-38.46%
01-10-2022,-0.039,-0.046,0.001,-0.075,-18.75%
01-09-2022,-0.048,-0.077,-0.034,-0.083,-42.86%
01-08-2022,-0.084,-0.084,-0.073,-0.104,0.00%
01-07-2022,-0.084,-0.059,-0.056,-0.086,44.83%
01-06-2022,-0.058,-0.065,-0.019,-0.092,-20.55%
01-05-2022,-0.073,-0.054,-0.04,-0.076,35.19%
01-04-2022,-0.054,-0.034,-0.032,-0.087,35.00%
01-03-2022,-0.04,-0.042,-0.016,-0.054,33.33%
01-02-2022,-0.03,-0.049,-0.009,-0.053,-38.78%
01-01-2022,-0.049,-0.089,-0.045,-0.09,-44.94%
01-12-2021,-0.089,-0.112,-0.088,-0.119,-28.80%
01-11-2021,-0.125,-0.1,-0.095,-0.13,23.76%
01-10-2021,-0.101,-0.119,-0.098,-0.124,-18.55%
01-09-2021,-0.124,-0.124,-0.119,-0.13,-6.06%
01-08-2021,-0.132,-0.125,-0.12,-0.144,6.45%
01-07-2021,-0.124,-0.111,-0.109,-0.134,10.71%
01-06-2021,-0.112,-0.119,-0.109,-0.125,-12.50%
01-05-2021,-0.128,-0.126,-0.122,-0.133,3.23%
01-04-2021,-0.124,-0.111,-0.111,-0.133,0.81%
01-03-2021,-0.123,-0.119,-0.106,-0.146,9.82%
01-02-2021,-0.112,-0.12,-0.085,-0.13,-10.40%
01-01-2021,-0.125,-0.12,-0.116,-0.138,2.46%
01-12-2020,-0.122,-0.121,-0.118,-0.139,-0.81%
01-11-2020,-0.123,-0.123,-0.113,-0.156,0.82%
01-10-2020,-0.122,-0.131,-0.118,-0.144,-10.29%
01-09-2020,-0.136,-0.111,-0.109,-0.155,20.35%
01-08-2020,-0.113,-0.135,-0.102,-0.136,-18.12%
01-07-2020,-0.138,-0.138,-0.125,-0.148,-3.50%
01-06-2020,-0.143,-0.158,-0.131,-0.168,-12.27%
01-05-2020,-0.163,-0.17,-0.146,-0.179,-8.43%
01-04-2020,-0.178,-0.147,-0.115,-0.187,26.24%
01-03-2020,-0.141,-0.256,-0.121,-0.337,-44.27%
01-02-2020,-0.253,-0.17,-0.123,-0.254,66.45%
01-01-2020,-0.152,-0.142,-0.112,-0.158,19.69%
01-12-2019,-0.127,-0.17,-0.088,-0.171,-26.59%
01-11-2019,-0.173,-0.248,-0.152,-0.273,-25.11%
01-10-2019,-0.231,-0.318,-0.191,-0.337,-28.26%
01-09-2019,-0.322,-0.306,-0.235,-0.347,5.57%
01-08-2019,-0.305,-0.203,-0.185,-0.321,48.78%
01-07-2019,-0.205,-0.224,-0.179,-0.228,-5.96%
01-06-2019,-0.218,-0.175,-0.174,-0.248,26.01%
01-05-2019,-0.173,-0.157,-0.149,-0.174,16.11%
01-04-2019,-0.149,-0.177,-0.144,-0.177,-16.29%
01-03-2019,-0.178,-0.143,-0.136,-0.183,17.11%
01-02-2019,-0.152,-0.17,-0.148,-0.184,-8.98%
01-01-2019,-0.167,-0.148,-0.132,-0.179,21.01%
01-12-2018,-0.138,-0.129,-0.111,-0.159,6.98%
01-11-2018,-0.129,-0.113,-0.112,-0.147,4.88%
01-10-2018,-0.123,-0.107,-0.104,-0.123,9.82%
01-09-2018,-0.112,-0.113,-0.101,-0.115,-0.88%
01-08-2018,-0.113,-0.101,-0.082,-0.131,1.80%
01-07-2018,-0.111,-0.122,-0.102,-0.131,-9.02%
01-06-2018,-0.122,-0.144,-0.12,-0.144,-14.08%
01-05-2018,-0.142,-0.135,-0.123,-0.148,7.58%
01-04-2018,-0.132,-0.134,-0.119,-0.154,0.00%
01-03-2018,-0.132,-0.156,-0.13,-0.167,-15.92%
01-02-2018,-0.157,-0.134,-0.116,-0.162,17.16%
01-01-2018,-0.134,-0.134,-0.122,-0.14,-2.19%
01-12-2017,-0.137,-0.153,-0.126,-0.154,-12.74%
01-11-2017,-0.157,-0.16,-0.154,-0.214,0.00%
01-10-2017,-0.157,-0.113,-0.107,-0.159,38.94%
01-09-2017,-0.113,-0.165,-0.109,-0.166,-31.10%
01-08-2017,-0.164,-0.112,-0.101,-0.164,46.43%
01-07-2017,-0.112,-0.113,-0.091,-0.126,0.90%
01-06-2017,-0.111,-0.158,-0.091,-0.161,-28.85%
01-05-2017,-0.156,-0.199,-0.144,-0.206,-23.90%
01-04-2017,-0.205,-0.188,-0.164,-0.232,8.47%
01-03-2017,-0.189,-0.245,-0.183,-0.294,-30.26%
01-02-2017,-0.271,-0.203,-0.188,-0.274,36.87%
01-01-2017,-0.198,-0.179,-0.175,-0.247,13.14%
01-12-2016,-0.175,-0.156,-0.153,-0.196,10.06%
01-11-2016,-0.159,-0.239,-0.102,-0.277,-33.19%
01-10-2016,-0.238,-0.274,-0.232,-0.282,-13.77%
01-09-2016,-0.276,-0.193,-0.177,-0.297,43.01%
01-08-2016,-0.193,-0.254,-0.14,-0.257,-20.90%
01-07-2016,-0.244,-0.294,-0.238,-0.368,-18.12%
01-06-2016,-0.298,-0.235,-0.227,-0.302,26.27%
01-05-2016,-0.236,-0.237,-0.22,-0.251,1.29%
01-04-2016,-0.233,-0.213,-0.188,-0.284,12.56%
01-03-2016,-0.207,-0.232,-0.134,-0.232,-10.78%
01-02-2016,-0.232,-0.08,-0.079,-0.241,286.67%
01-01-2016,-0.06,-0.01,0.002,-0.069,566.67%
01-12-2015,-0.009,-0.005,-0.001,-0.041,-550.00%
01-11-2015,0.002,0.007,0.012,-0.023,-71.43%
01-10-2015,0.007,0.019,0.021,0.006,-63.16%
01-09-2015,0.019,0.016,0.028,0.011,58.33%
01-08-2015,0.012,0.01,0.015,0.004,9.09%
01-07-2015,0.011,0.006,0.021,0.003,57.14%
01-06-2015,0.007,0.001,0.017,-0.001,600.00%
01-05-2015,0.001,0.006,0.029,-0.011,-88.89%
01-04-2015,0.009,0.043,0.115,-0.015,-79.55%
01-03-2015,0.044,0.02,0.051,0.005,91.30%
01-02-2015,0.023,0.016,0.069,0.014,43.75%
01-01-2015,0.016,-0.019,0.017,-0.047,-200.00%
01-12-2014,-0.016,0.014,0.018,-0.042,-300.00%
01-11-2014,0.008,0.019,0.1,0.004,-76.47%
01-10-2014,0.034,0.074,0.078,0.013,-54.05%
01-09-2014,0.074,0.074,0.081,0.062,2.78%
01-08-2014,0.072,0.067,0.094,0.063,1.41%
01-07-2014,0.071,0.074,0.076,0.061,-7.79%
01-06-2014,0.077,0.089,0.093,0.071,-14.44%
01-05-2014,0.09,0.089,0.095,0.084,1.12%
01-04-2014,0.089,0.09,0.095,0.083,-2.20%
01-03-2014,0.091,0.076,0.095,0.072,24.66%
01-02-2014,0.073,0.085,0.092,0.067,-17.98%
01-01-2014,0.089,0.101,0.104,0.086,-11.00%
01-12-2013,0.1,0.084,0.102,0.083,14.94%
01-11-2013,0.087,0.1,0.101,0.086,-13.00%
01-10-2013,0.1,0.108,0.113,0.094,-7.41%
01-09-2013,0.108,0.116,0.12,0.094,-8.47%
01-08-2013,0.118,0.12,0.127,0.108,-4.07%
01-07-2013,0.123,0.145,0.149,0.118,-17.45%
01-06-2013,0.149,0.144,0.152,0.123,0.68%
01-05-2013,0.148,0.125,0.157,0.113,14.73%
01-04-2013,0.129,0.069,0.147,0.059,86.96%
01-03-2013,0.069,0.051,0.071,0.038,50.00%
01-02-2013,0.046,0.07,0.09,0.024,-37.84%
01-01-2013,0.074,0.099,0.1,0.066,-23.71%
01-12-2012,0.097,0.098,0.103,0.096,0.00%
01-11-2012,0.097,0.099,0.105,0.097,-3.00%
01-10-2012,0.1,0.101,0.105,0.098,-2.91%
01-09-2012,0.103,0.097,0.105,0.093,1.98%
01-08-2012,0.101,0.098,0.108,0.087,2.02%
01-07-2012,0.099,0.1,0.109,0.093,-5.71%
01-06-2012,0.105,0.095,0.15,0.09,1.94%
01-05-2012,0.103,0.114,0.135,0.07,-12.71%
01-04-2012,0.118,0.12,0.14,0.109,-1.67%
01-03-2012,0.12,0.115,0.125,0.113,2.56%
01-02-2012,0.117,0.132,0.142,0.106,-10.69%
01-01-2012,0.131,0.134,0.139,0.128,-2.96%
01-12-2011,0.135,0.15,0.15,0.125,-6.25%
01-11-2011,0.144,0.118,0.155,0.118,-4.00%
01-10-2011,0.15,0.141,0.175,0.136,5.63%
01-09-2011,0.142,0.142,0.151,0.125,0.00%
01-08-2011,0.142,0.155,0.159,0.11,-9.55%
01-07-2011,0.157,0.175,0.179,0.148,-10.29%
01-06-2011,0.175,0.18,0.18,0.149,-2.78%
01-05-2011,0.18,0.2,0.2,0.169,-10.00%
01-04-2011,0.2,0.21,0.216,0.195,-6.98%
01-03-2011,0.215,0.25,0.257,0.148,-12.24%
01-02-2011,0.245,0.195,0.25,0.195,22.50%
01-01-2011,0.2,0.175,0.206,0.168,14.29%
01-12-2010,0.175,0.194,0.249,0.174,-10.26%
01-11-2010,0.195,0.14,0.217,0.13,34.48%
01-10-2010,0.145,0.135,0.15,0.107,3.57%
01-09-2010,0.14,0.125,0.165,0.125,5.26%
01-08-2010,0.133,0.155,0.157,0.115,-14.19%
01-07-2010,0.155,0.155,0.165,0.14,3.33%
01-06-2010,0.15,0.163,0.18,0.148,-11.76%
01-05-2010,0.17,0.17,0.18,0.147,-1.73%
01-04-2010,0.173,0.176,0.185,0.157,-6.49%
01-03-2010,0.185,0.16,0.188,0.142,19.35%
01-02-2010,0.155,0.16,0.186,0.122,-6.06%
01-01-2010,0.165,0.157,0.178,0.129,10.00%
01-12-2009,0.15,0.235,0.238,0.15,-35.06%
01-11-2009,0.231,0.265,0.293,0.226,-11.83%
01-10-2009,0.262,0.25,0.29,0.235,4.80%
01-09-2009,0.25,0.257,0.257,0.208,-1.96%
01-08-2009,0.255,0.286,0.296,0.238,-10.53%
01-07-2009,0.285,0.32,0.32,0.23,-9.52%
01-06-2009,0.315,0.36,0.4,0.305,-12.50%
01-05-2009,0.36,0.38,0.41,0.34,-7.69%
01-04-2009,0.39,0.41,0.5,0.385,-7.14%
01-03-2009,0.42,0.4,0.45,0.39,5.00%
01-02-2009,0.4,0.46,0.51,0.365,-13.04%
01-01-2009,0.46,0.42,0.485,0.325,15.00%
01-12-2008,0.4,0.61,0.61,0.335,-34.43%
01-11-2008,0.61,0.605,0.64,0.485,5.17%
01-10-2008,0.58,0.825,0.885,0.505,-24.68%
01-09-2008,0.77,0.705,0.885,0.66,7.69%
01-08-2008,0.715,0.73,0.78,0.635,-7.74%
01-07-2008,0.775,0.83,0.865,0.725,-2.52%
01-06-2008,0.795,0.915,1.03,0.755,-7.56%
01-05-2008,0.86,0.74,0.915,0.71,6.17%
01-04-2008,0.81,0.555,0.87,0.535,39.66%
01-03-2008,0.58,0.54,0.635,0.46,3.02%
01-02-2008,0.563,0.53,0.67,0.525,-0.35%
01-01-2008,0.565,0.72,0.725,0.5,-22.71%
01-12-2007,0.731,0.77,0.795,0.69,-5.19%
01-11-2007,0.771,0.835,0.87,0.68,-3.14%
01-10-2007,0.796,0.86,0.94,0.76,-10.16%
01-09-2007,0.886,0.875,0.935,0.745,0.00%
01-08-2007,0.886,0.995,1.06,0.76,-12.36%
01-07-2007,1.011,1.035,1.135,0.955,-3.81%
01-06-2007,1.051,0.995,1.102,0.995,6.48%
01-05-2007,0.987,0.86,0.987,0.86,11.78%
01-04-2007,0.883,0.825,0.888,0.825,4.74%
01-03-2007,0.843,0.827,0.858,0.734,1.57%
01-02-2007,0.83,0.712,0.85,0.698,12.77%
01-01-2007,0.736,0.85,0.876,0.717,-10.79%
01-12-2006,0.825,0.785,0.882,0.748,1.60%
01-11-2006,0.812,0.735,0.845,0.717,11.69%
01-10-2006,0.727,0.7,0.852,0.634,6.60%
01-09-2006,0.682,0.613,0.695,0.592,10.18%
01-08-2006,0.619,0.842,0.858,0.611,-26.22%
01-07-2006,0.839,0.875,0.953,0.759,-4.55%
01-06-2006,0.879,0.858,0.908,0.665,7.85%
01-05-2006,0.815,0.668,0.846,0.645,18.12%
01-04-2006,0.69,0.73,0.78,0.645,-4.96%
01-03-2006,0.726,0.485,0.753,0.449,42.63%
01-02-2006,0.509,0.333,0.544,0.319,51.04%
01-01-2006,0.337,0.318,0.344,0.261,0.00%
01-12-2005,0.337,0.238,0.342,0.229,42.80%
