Date,Price,Open,High,Low,Change %
01-12-2023,0.22,0.269,0.393,0.193,-15.38%
01-11-2023,0.26,0.471,0.49,0.224,-43.11%
01-10-2023,0.457,0.321,0.466,0.303,42.81%
01-09-2023,0.32,0.223,0.322,0.209,42.22%
01-08-2023,0.225,0.181,0.247,0.171,22.28%
01-07-2023,0.184,0.056,0.197,0.055,206.67%
01-06-2023,0.06,0.086,0.094,0.046,-31.03%
01-05-2023,0.087,0.095,0.137,0.081,-20.18%
01-04-2023,0.109,0.103,0.173,0.1,21.11%
01-03-2023,0.09,0.203,0.231,0.055,-58.33%
01-02-2023,0.216,0.187,0.25,0.16,13.09%
01-01-2023,0.191,0.23,0.332,0.163,-16.96%
01-12-2022,0.23,0.105,0.257,0.093,100.00%
01-11-2022,0.115,0.083,0.119,0.041,43.75%
01-10-2022,0.08,0.069,0.148,0.033,21.21%
01-09-2022,0.066,0.021,0.098,0.013,560.00%
01-08-2022,0.01,-0.016,0.03,-0.04,-140.00%
01-07-2022,-0.025,0.019,0.039,-0.03,-219.05%
01-06-2022,0.021,0.006,0.099,-0.014,425.00%
01-05-2022,0.004,0.011,0.029,-0.01,0.00%
01-04-2022,0.004,0.013,0.04,-0.003,-86.67%
01-03-2022,0.03,-0.014,0.07,-0.024,233.33%
01-02-2022,0.009,-0.014,0.064,-0.014,-160.00%
01-01-2022,-0.015,-0.069,-0.005,-0.069,-79.73%
01-12-2021,-0.074,-0.087,-0.074,-0.104,-21.28%
01-11-2021,-0.094,-0.072,-0.062,-0.104,27.03%
01-10-2021,-0.074,-0.093,-0.051,-0.1,-11.90%
01-09-2021,-0.084,-0.11,-0.079,-0.113,-27.59%
01-08-2021,-0.116,-0.121,-0.109,-0.134,-6.45%
01-07-2021,-0.124,-0.101,-0.101,-0.133,24.00%
01-06-2021,-0.1,-0.095,-0.091,-0.125,5.26%
01-05-2021,-0.095,-0.094,-0.084,-0.103,1.06%
01-04-2021,-0.094,-0.075,-0.074,-0.11,1.08%
01-03-2021,-0.093,-0.065,-0.053,-0.107,89.80%
01-02-2021,-0.049,-0.102,-0.023,-0.111,-55.05%
01-01-2021,-0.109,-0.108,-0.088,-0.121,0.93%
01-12-2020,-0.108,-0.095,-0.095,-0.129,4.85%
01-11-2020,-0.103,-0.093,-0.076,-0.124,10.75%
01-10-2020,-0.093,-0.109,-0.087,-0.115,-17.70%
01-09-2020,-0.113,-0.066,-0.066,-0.133,66.18%
01-08-2020,-0.068,-0.114,-0.06,-0.128,-45.16%
01-07-2020,-0.124,-0.097,-0.073,-0.129,27.84%
01-06-2020,-0.097,-0.124,-0.074,-0.134,-21.14%
01-05-2020,-0.123,-0.149,-0.106,-0.149,-20.65%
01-04-2020,-0.155,-0.13,-0.074,-0.171,44.86%
01-03-2020,-0.107,-0.269,-0.036,-0.339,-58.37%
01-02-2020,-0.257,-0.181,-0.112,-0.258,59.63%
01-01-2020,-0.161,-0.139,-0.083,-0.162,25.78%
01-12-2019,-0.128,-0.172,-0.07,-0.176,-28.49%
01-11-2019,-0.179,-0.282,-0.155,-0.31,-31.68%
01-10-2019,-0.262,-0.347,-0.227,-0.378,-26.82%
01-09-2019,-0.358,-0.348,-0.245,-0.397,1.99%
01-08-2019,-0.351,-0.239,-0.219,-0.363,45.64%
01-07-2019,-0.241,-0.254,-0.203,-0.262,-6.59%
01-06-2019,-0.258,-0.197,-0.193,-0.287,33.68%
01-05-2019,-0.193,-0.175,-0.154,-0.194,17.68%
01-04-2019,-0.164,-0.192,-0.134,-0.194,-17.59%
01-03-2019,-0.199,-0.144,-0.136,-0.202,29.22%
01-02-2019,-0.154,-0.166,-0.143,-0.183,-2.53%
